Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC0,27/08/16,Hamilton,Ross County,1,0,H,0,0,D,G Aitken,15,4,9,1,15,15,6,5,3,2,0,0,3,3.4,2.3,3,3.2,2.2,3,3.2,2.2,3,3.3,2.3,3.09,3.52,2.4,3.2,3.3,2.25,3,3.5,2.38,52,3.2,3,3.52,3.32,2.4,2.29,41,2.02,1.92,1.93,1.83,27,0.25,1.86,1.82,2.06,2,3.14,3.5,2.38
SC0,27/08/16,Inverness C,St Johnstone,2,1,H,0,0,D,S Finnie,15,7,8,3,13,12,6,1,1,1,0,0,2.63,3.4,2.55,2.65,3,2.55,2.6,3.2,2.5,2.8,3.2,2.5,2.89,3.35,2.63,2.75,3.2,2.62,2.8,3.4,2.55,52,2.89,2.74,3.4,3.21,2.63,2.54,41,2.2,2.11,1.74,1.69,28,0,2.06,1.97,1.89,1.84,2.55,3.29,3.03
SC0,27/08/16,Motherwell,Dundee,0,0,D,0,0,D,A Dallas,17,11,5,3,5,11,8,5,1,2,0,0,2.4,3.5,2.75,2.45,3.1,2.7,2.4,3.2,2.7,2.5,3.25,2.88,2.53,3.4,2.98,2.5,3.3,2.8,2.45,3.5,2.9,52,2.53,2.45,3.5,3.27,2.98,2.81,41,2.04,1.96,1.86,1.8,26,0,1.83,1.78,2.12,2.03,2.52,3.44,2.97
SC0,27/08/16,Partick,Hearts,1,2,A,0,1,A,W Collum,9,17,4,8,8,9,8,5,2,0,0,0,3.4,3.4,2.1,3,3.2,2.2,3.1,3.3,2.1,3.4,3.3,2.15,3.5,3.51,2.2,3.3,3.3,2.2,3.4,3.5,2.15,52,3.5,3.29,3.51,3.32,2.2,2.16,40,2.15,2.04,1.82,1.74,27,0.25,2.02,1.94,1.92,1.87,3.47,3.49,2.22
SC0,10/09/16,Aberdeen,Inverness C,1,1,D,0,0,D,C Allan,3,1,2,1,10,12,5,2,0,3,0,0,1.8,3.6,4.33,1.67,3.6,4.5,1.8,3.4,4,1.8,3.5,4.5,1.83,3.76,4.73,1.83,3.2,5,1.8,3.75,4.6,55,1.84,1.78,3.8,3.58,5,4.41,44,2.11,2,1.86,1.77,27,-0.75,2.1,2.03,1.85,1.8,1.77,3.78,5.12
SC0,10/09/16,Celtic,Rangers,5,1,H,2,1,H,W Collum,20,6,9,2,12,13,3,1,4,2,0,1,1.6,4,5.25,1.62,4,5.5,1.65,3.5,4.6,1.62,4.2,5.5,1.64,4.32,5.43,1.62,4,5.5,1.6,4.33,5.4,53,1.65,1.6,4.32,4.01,5.6,5.23,37,1.74,1.66,2.21,2.13,31,-1,2.2,2.04,1.85,1.79,1.61,4.15,6.21
SC0,10/09/16,Dundee,Kilmarnock,1,1,D,1,1,D,D Robertson,17,7,3,1,17,13,3,5,3,2,1,0,1.91,3.4,4,1.85,3.3,3.9,1.9,3.3,3.7,1.85,3.5,4,1.96,3.65,4.14,1.95,3.1,4.33,1.93,3.7,4,54,1.96,1.9,3.7,3.47,4.33,3.92,43,1.98,1.89,1.97,1.86,28,-0.5,1.96,1.9,1.99,1.91,1.85,3.8,4.53
SC0,10/09/16,Hearts,Hamilton,3,1,H,0,0,D,C Thomson,22,6,10,1,10,9,8,3,3,3,0,0,1.62,3.75,5.5,1.6,3.6,5,1.65,3.5,4.6,1.62,3.8,5.5,1.63,4.17,5.83,1.62,3.8,5.5,1.62,4.1,5.4,55,1.67,1.61,4.17,3.86,5.83,5.28,44,1.95,1.85,2,1.9,29,-0.75,1.85,1.79,2.12,2.04,1.54,4.34,6.96
SC0,10/09/16,Partick,St Johnstone,0,2,A,0,1,A,N Walsh,9,9,4,5,9,13,2,3,0,1,0,0,2.7,3.4,2.5,2.8,3.1,2.4,2.8,3.2,2.3,2.8,3.2,2.5,2.95,3.33,2.6,2.7,3.2,2.62,2.8,3.4,2.55,54,3,2.81,3.4,3.23,2.62,2.48,42,2.27,2.15,1.73,1.66,30,0,2.08,2.01,1.89,1.8,2.74,3.31,2.8
SC0,10/09/16,Ross County,Motherwell,1,1,D,0,0,D,A Muir,11,6,3,4,10,17,3,3,1,2,1,0,2,3.5,3.6,2,3.25,3.4,2,3.3,3.3,2,3.5,3.6,2.05,3.65,3.81,2.05,3.4,3.6,2.05,3.6,3.75,55,2.05,2,3.65,3.47,3.81,3.56,42,1.91,1.84,2.02,1.92,28,-0.5,2.05,1.99,1.92,1.83,1.79,3.9,4.74
