Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
P1,28/08/16,Sp Lisbon,Porto,2,1,H,2,1,H,2.1,3.2,3.6,2.1,3.1,3.5,2.3,3.2,3,2.15,3.1,3.6,2.19,3.28,3.79,2.2,3.1,3.3,2.15,3.3,3.5,53,2.3,2.16,3.32,3.22,3.79,3.45,37,2.25,2.15,1.72,1.65,25,-0.5,2.21,2.15,1.76,1.7,2.44,3.17,3.33
P1,04/09/16,Nacional,Chaves,0,1,A,0,1,A,2.5,3,3,2.45,2.95,3,2.5,3,2.8,2.6,3,2.9,2.7,3.11,3,2.5,2.9,3,2.6,3,3,52,2.72,2.57,3.13,2.98,3,2.93,35,2.64,2.52,1.51,1.48,27,0,1.87,1.8,2.09,2.02,2.53,3.07,3.28
P1,09/09/16,Arouca,Benfica,1,2,A,0,1,A,7.5,4.2,1.45,7.25,4,1.44,6.5,3.9,1.45,7,4,1.5,7.9,4.31,1.5,7.5,4,1.44,8,4.3,1.45,54,8,7.22,4.45,4.07,1.54,1.47,43,2.11,2.01,1.85,1.76,31,1,2.06,1.99,1.88,1.83,7.62,4.37,1.51
P1,10/09/16,Belenenses,Nacional,2,1,H,0,1,A,2.1,3.1,3.75,2.1,3.1,3.5,2.1,3.1,3.3,2.15,3.1,3.6,2.1,3.33,4.01,2.15,3.1,3.4,2.2,3.13,3.7,55,2.2,2.12,3.35,3.19,4.01,3.6,39,2.55,2.37,1.61,1.54,27,-0.25,1.88,1.81,2.14,2.01,2.05,3.46,4.03
P1,10/09/16,Porto,Guimaraes,3,0,H,1,0,H,1.36,5,7.5,1.34,4.6,8.5,1.33,4.6,7.8,1.36,4.5,8.5,1.4,4.98,9,1.33,4.75,8.5,1.36,5,8.5,55,1.44,1.37,5.15,4.75,9,8.06,39,1.75,1.67,2.23,2.13,29,-1.5,2.21,2.11,1.79,1.72,1.37,5.11,9.95
P1,10/09/16,Sp Lisbon,Moreirense,3,0,H,1,0,H,1.29,5,12,1.26,5.25,10.5,1.25,5,10,1.25,5.25,13,1.27,5.92,14.5,1.25,5,12,1.25,5.75,13,56,1.32,1.26,5.95,5.37,15,11.96,43,1.81,1.72,2.2,2.06,31,-1.5,1.9,1.82,2.07,1.98,1.25,6.31,15.55
P1,11/09/16,Chaves,Setubal,0,0,D,0,0,D,2.5,3,3,2.35,3.1,3,2.4,3,2.9,2.6,3,2.9,2.66,3.15,3.02,2.5,3,2.9,2.63,3.13,2.88,55,2.66,2.53,3.25,3.07,3.02,2.9,38,2.41,2.35,1.61,1.55,29,0,1.88,1.81,2.08,2.01,2.4,3.25,3.31
P1,11/09/16,Maritimo,Rio Ave,0,1,A,0,1,A,2.5,3,3,2.45,2.95,3,2.5,3,2.8,2.62,3,2.88,2.71,3.15,2.96,2.5,3,2.88,2.63,3.13,2.88,54,2.71,2.57,3.3,3.08,3,2.86,37,2.39,2.28,1.63,1.58,30,0,1.9,1.83,2.05,1.99,2.75,3.25,2.82
P1,11/09/16,Pacos Ferreira,Estoril,0,0,D,0,0,D,2,3.2,4,2.1,3.1,3.5,2.1,3.1,3.3,2.05,3.25,3.8,2.08,3.38,4.01,2.1,3.2,3.4,2.05,3.4,3.75,56,2.12,2.06,3.4,3.26,4.01,3.66,41,2.24,2.13,1.74,1.67,28,-0.25,1.81,1.77,2.16,2.06,2.05,3.37,4.15
P1,11/09/16,Sp Braga,Boavista,3,0,H,1,0,H,1.44,4,8,1.4,4.1,8.25,1.45,3.9,6.5,1.44,4,8.5,1.45,4.44,9.24,1.44,3.8,8,1.44,4.2,8.5,56,1.49,1.43,4.44,4.1,9.24,8.13,43,2.22,2.13,1.74,1.67,32,-1,1.82,1.76,2.16,2.07,1.51,4.17,8.3
P1,12/09/16,Feirense,Tondela,2,1,H,1,0,H,2.38,3.1,3.1,2.4,2.95,3.1,2.3,3,3,2.5,2.9,3.1,2.55,3.07,3.25,2.4,3,3,2.5,3.1,3.1,54,2.55,2.46,3.1,3.01,3.25,3.07,38,2.69,2.5,1.52,1.48,27,0,1.78,1.71,2.28,2.12,2.55,3.11,3.21
